round,C,D,K_i (48b),L(i-1),R(i-1),E(R),A = E(R)^K,S(A),P(S(A)),L(i),R(i)
1,E19955F,AACCF1E,1B02EFFC7072,CC00CCFF,F0AAF0AA,7A15557A1555,6117BA866527,5C82B597,234AA9BB,F0AAF0AA,EF4A6544
2,C332ABF,5599E3D,79AED9DBC9E5,F0AAF0AA,EF4A6544,75EA5430AA09,0C448DEB63EC,F8D03AAE,3CAB87A3,EF4A6544,CC017709
3,0CCAAFF,56678F5,55FC8A42CF99,EF4A6544,CC017709,E58002BAE853,B07C88F827CA,2710E16F,4D166EB0,CC017709,A25C0BF4
4,332ABFC,599E3D5,72ADD6DB351D,CC017709,A25C0BF4,5042F8057FA9,22EF2EDE4AB4,21ED9F3A,BB23774C,A25C0BF4,77220045
5,CCAAFF0,6678F55,7CEC07EB53A8,A25C0BF4,77220045,BAE90400020A,C60503EB51A2,50C831EB,2813ADC3,77220045,8A4FA637
6,32ABFC3,99E3D55,63A53E507B2F,77220045,8A4FA637,C5425FD0C1AF,A6E76180BA80,41F34C3D,9E45CD2C,8A4FA637,E967CD69
7,CAAFF0C,678F556,EC84B7F618BC,8A4FA637,E967CD69,F52B0FE5AB53,19AFB813B3EF,107540AD,8C051C27,E967CD69,064ABA10
8,2ABFC33,9E3D559,F78A3AC13BFB,E967CD69,064ABA10,00C2555F40A0,F7486F9E7B5B,6C187CAE,3C0E86F9,064ABA10,D5694B90
9,557F866,3C7AAB3,E0DBEBEDE781,064ABA10,D5694B90,6AAB52A57CA1,8A70B9489B20,110C5777,22367C6A,D5694B90,247CC67A
10,55FE199,F1EAACC,B1F347BA464F,D5694B90,247CC67A,1083F960C3F4,A170BEDA85BB,DA045275,62BC9C22,247CC67A,B7D5D7B2
11,57F8665,C7AAB33,215FD3DED386,247CC67A,B7D5D7B2,5AFEABEAFDA5,7BA178342E23,7305D101,E104FA02,B7D5D7B2,C5783C78
12,5FE1995,1EAACCF,7571F59467E9,B7D5D7B2,C5783C78,60ABF01F83F1,15DA058BE418,7B8B2635,C268CFEA,C5783C78,75BD1858
13,7F86655,7AAB33C,97C5D1FABA41,C5783C78,75BD1858,3ABDFA8F02F0,AD782B75B8B1,9AD18B4F,DDBB2922,75BD1858,18C3155A
14,FE19955,EAACCF1,5F43B7F2E73A,75BD1858,18C3155A,0F16068AAAF4,5055B1784DCE,64799AF1,B7318E55,18C3155A,C28C960D
15,F866557,AAB33C7,BF918D3D3F0A,18C3155A,C28C960D,E054594AC05B,5FC5D477FF51,B2E88D3C,5B81276E,C28C960D,43423234
16,F0CCAAF,556678F,CB3D8B0E17F5,C28C960D,43423234,206A041A41A8,EB578F14565D,A7832429,C8C04F98,43423234,0A4CD995
